"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","hour","userNumber","original.inat.taxonID"
-118.7539596558,34.0463256836,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Gentianales","Apocynaceae","Vinca","Vinca major",2012,1,19,49,53326
-118.754119873,34.0465736389,"Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Stipa","Stipa miliacea",2012,1,19,49,81395
-118.7538375854,34.0473632813,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Foeniculum","Foeniculum vulgare",2012,1,19,49,53052
-118.7543258667,34.0482711792,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Anacardiaceae","Rhus","Rhus ovata",2012,1,19,49,64121
-118.7540817261,34.0490684509,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Isocoma","Isocoma menziesii",2012,1,19,49,77511
-118.7543640137,34.0483894348,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Keckiella","Keckiella cordifolia",2012,1,19,49,62063
-118.7538604736,34.047328949,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Salvia","Salvia mellifera",2012,1,19,49,50643
-118.7539672852,34.0468864441,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","Marah","Marah macrocarpa",2012,1,19,49,77959
-118.7534790039,34.0455665588,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia","Artemisia douglasiana",2012,1,19,49,52854
-118.7532196045,34.0450935364,"Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus diandrus",2012,1,19,49,52702
-118.7530059814,34.0447692871,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rhamnaceae","Frangula","Frangula californica",2012,1,19,49,53423
-118.7529449463,34.0442008972,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis","Baccharis salicifolia",2012,1,19,49,57913
-118.7530288696,34.0441017151,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Gentianales","Rubiaceae","Galium","Galium angustifolium",2012,1,19,49,58311
-118.7533187866,34.0435218811,"Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Bromus","Bromus madritensis",2012,1,19,49,52707
-118.7537536621,34.0395965576,"Plant","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Cynodon","Cynodon dactylon",2012,1,19,49,58371
-118.7493972778,34.0377006531,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Conium","Conium maculatum",2012,1,19,49,52998
-118.7483062744,34.0377235413,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Oxalidales","Oxalidaceae","Oxalis","Oxalis pes-caprae",2012,1,19,49,53169
-118.7359848022,34.0335960388,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Encelia","Encelia californica",2012,1,20,49,64141
-118.735458374,34.0335845947,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Eriogonum","Eriogonum cinereum",2012,1,20,49,76974
-118.9534807205,34.1485361843,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Primula","Primula clevelandii",2012,2,NA,65,487173
